strategy,alpha_bin,count
baseline,-2.0,93
baseline,-1.99,85
baseline,-1.98,68
baseline,-1.97,69
baseline,-1.96,104
baseline,-1.95,78
baseline,-1.94,128
baseline,-1.93,100
baseline,-1.92,90
baseline,-1.91,139
baseline,-1.9,142
baseline,-1.89,228
baseline,-1.88,236
baseline,-1.87,182
baseline,-1.86,143
baseline,-1.85,121
baseline,-1.84,225
baseline,-1.83,208
baseline,-1.82,168
baseline,-1.81,119
baseline,-1.8,91
baseline,-1.79,122
baseline,-1.78,140
baseline,-1.77,129
baseline,-1.76,124
baseline,-1.75,188
baseline,-1.74,283
baseline,-1.73,277
baseline,-1.72,359
baseline,-1.71,511
baseline,-1.7,419
baseline,-1.69,414
baseline,-1.68,168
baseline,-1.67,158
baseline,-1.66,222
baseline,-1.65,216
baseline,-1.64,190
baseline,-1.63,243
baseline,-1.62,181
baseline,-1.61,179
baseline,-1.6,166
baseline,-1.59,147
baseline,-1.58,160
baseline,-1.57,140
baseline,-1.56,310
baseline,-1.55,140
baseline,-1.54,149
baseline,-1.53,212
baseline,-1.52,186
baseline,-1.51,242
baseline,-1.5,1965
baseline,-1.49,385
baseline,-1.48,331
baseline,-1.47,353
baseline,-1.46,508
baseline,-1.45,356
baseline,-1.44,1237
baseline,-1.43,367
baseline,-1.42,1206
baseline,-1.41,389
baseline,-1.4,405
baseline,-1.39,502
baseline,-1.38,679
baseline,-1.37,2368
baseline,-1.36,467
baseline,-1.35,2125
baseline,-1.34,790
baseline,-1.33,677
baseline,-1.32,616
baseline,-1.31,914
baseline,-1.3,575
baseline,-1.29,2335
baseline,-1.28,1596
baseline,-1.27,2625
baseline,-1.26,2631
baseline,-1.25,2244
baseline,-1.24,1100
baseline,-1.23,1133
baseline,-1.22,1020
baseline,-1.21,1539
baseline,-1.2,1063
baseline,-1.19,1293
baseline,-1.18,1290
baseline,-1.17,956
baseline,-1.16,1065
baseline,-1.15,1223
baseline,-1.14,1258
baseline,-1.13,1730
baseline,-1.12,2280
baseline,-1.11,2372
baseline,-1.1,5456
baseline,-1.09,3072
baseline,-1.08,2825
baseline,-1.07,3664
baseline,-1.06,2881
baseline,-1.05,3338
baseline,-1.04,4069
baseline,-1.03,4171
baseline,-1.02,4359
baseline,-1.01,4239
baseline,-1.0,6446
baseline,-0.99,5092
baseline,-0.98,4166
baseline,-0.97,4531
baseline,-0.96,4976
baseline,-0.95,5453
baseline,-0.94,5282
baseline,-0.93,6975
baseline,-0.92,7768
baseline,-0.91,8835
baseline,-0.9,8328
baseline,-0.89,9309
baseline,-0.88,15041
baseline,-0.87,12647
baseline,-0.86,9838
baseline,-0.85,9165
baseline,-0.84,16491
baseline,-0.83,13618
baseline,-0.82,11410
baseline,-0.81,12189
baseline,-0.8,20457
baseline,-0.79,21707
baseline,-0.78,16819
baseline,-0.77,19784
baseline,-0.76,19615
baseline,-0.75,28381
baseline,-0.74,23650
baseline,-0.73,26053
baseline,-0.72,26166
baseline,-0.71,25408
baseline,-0.7,31001
baseline,-0.69,28975
baseline,-0.68,30149
baseline,-0.67,35044
baseline,-0.66,34271
baseline,-0.65,43034
baseline,-0.64,47533
baseline,-0.63,50268
baseline,-0.62,108487
baseline,-0.61,69154
baseline,-0.6,71621
baseline,-0.59,249625
baseline,-0.58,80771
baseline,-0.57,87542
baseline,-0.56,78050
baseline,-0.55,107727
baseline,-0.54,233124
baseline,-0.53,119452
baseline,-0.52,118177
baseline,-0.51,184042
baseline,-0.5,137943
baseline,-0.49,165050
baseline,-0.48,556215
baseline,-0.47,239229
baseline,-0.46,412721
baseline,-0.45,500015
baseline,-0.44,275707
baseline,-0.43,446794
baseline,-0.42,348993
baseline,-0.41,343238
baseline,-0.4,349399
baseline,-0.39,373849
baseline,-0.38,596633
baseline,-0.37,452305
baseline,-0.36,491332
baseline,-0.35,634768
baseline,-0.34,662275
baseline,-0.33,675907
baseline,-0.32,842279
baseline,-0.31,899233
baseline,-0.3,1056840
baseline,-0.29,1070819
baseline,-0.28,1114487
baseline,-0.27,1295420
baseline,-0.26,1464115
baseline,-0.25,2008141
baseline,-0.24,1931801
baseline,-0.23,2311292
baseline,-0.22,2533781
baseline,-0.21,2720219
baseline,-0.2,2682656
baseline,-0.19,3546501
baseline,-0.18,3145569
baseline,-0.17,3029281
baseline,-0.16,3273184
baseline,-0.15,3750669
baseline,-0.14,3957140
baseline,-0.13,4592951
baseline,-0.12,5084668
baseline,-0.11,5126110
baseline,-0.1,5022681
baseline,-0.09,5713685
baseline,-0.08,5599613
baseline,-0.07,5753078
baseline,-0.06,6118683
baseline,-0.05,6520112
baseline,-0.04,7525785
baseline,-0.03,7587440
baseline,-0.02,8247790
baseline,-0.01,18579604
baseline,0.0,15781057
baseline,0.01,7062141
baseline,0.02,5868926
baseline,0.03,4564859
baseline,0.04,4095900
baseline,0.05,3920181
baseline,0.06,3006872
baseline,0.07,2758675
baseline,0.08,2361736
baseline,0.09,2176776
baseline,0.1,2042303
baseline,0.11,1845734
baseline,0.12,1753880
baseline,0.13,1992704
baseline,0.14,1691924
baseline,0.15,1523340
baseline,0.16,1534080
baseline,0.17,1214229
baseline,0.18,1127260
baseline,0.19,1155046
baseline,0.2,1001587
baseline,0.21,938713
baseline,0.22,832966
baseline,0.23,883379
baseline,0.24,909954
baseline,0.25,841744
baseline,0.26,786324
baseline,0.27,631878
baseline,0.28,642114
baseline,0.29,624387
baseline,0.3,930792
baseline,0.31,532925
baseline,0.32,534426
baseline,0.33,402830
baseline,0.34,396894
baseline,0.35,389236
baseline,0.36,375472
baseline,0.37,382547
baseline,0.38,408334
baseline,0.39,332923
baseline,0.4,339097
baseline,0.41,315526
baseline,0.42,321113
baseline,0.43,456374
baseline,0.44,417575
baseline,0.45,413895
baseline,0.46,230727
baseline,0.47,216233
baseline,0.48,200623
baseline,0.49,187042
baseline,0.5,247928
baseline,0.51,172601
baseline,0.52,162598
baseline,0.53,150445
baseline,0.54,152769
baseline,0.55,163122
baseline,0.56,149889
baseline,0.57,133467
baseline,0.58,132971
baseline,0.59,132205
baseline,0.6,179356
baseline,0.61,172641
baseline,0.62,129974
baseline,0.63,115252
baseline,0.64,109444
baseline,0.65,109446
baseline,0.66,104528
baseline,0.67,110713
baseline,0.68,106126
baseline,0.69,120844
baseline,0.7,136962
baseline,0.71,215657
baseline,0.72,72540
baseline,0.73,78444
baseline,0.74,137845
baseline,0.75,83187
baseline,0.76,76009
baseline,0.77,111017
baseline,0.78,75537
baseline,0.79,72696
baseline,0.8,70457
baseline,0.81,128050
baseline,0.82,66671
baseline,0.83,72454
baseline,0.84,69969
baseline,0.85,83710
baseline,0.86,124189
baseline,0.87,296564
baseline,0.88,90981
baseline,0.89,98881
baseline,0.9,185012
baseline,0.91,44082
baseline,0.92,42473
baseline,0.93,42887
baseline,0.94,37648
baseline,0.95,37664
baseline,0.96,39968
baseline,0.97,35723
baseline,0.98,36166
baseline,0.99,39431
baseline,1.0,34099
baseline,1.01,38597
baseline,1.02,41520
baseline,1.03,33498
baseline,1.04,31967
baseline,1.05,31948
baseline,1.06,38074
baseline,1.07,30622
baseline,1.08,28335
baseline,1.09,28885
baseline,1.1,31863
baseline,1.11,27433
baseline,1.12,27352
baseline,1.13,29049
baseline,1.14,35503
baseline,1.15,38466
baseline,1.16,28593
baseline,1.17,27672
baseline,1.18,24151
baseline,1.19,24853
baseline,1.2,20675
baseline,1.21,20732
baseline,1.22,21023
baseline,1.23,24065
baseline,1.24,23511
baseline,1.25,22109
baseline,1.26,25369
baseline,1.27,33438
baseline,1.28,25464
baseline,1.29,16168
baseline,1.3,15885
baseline,1.31,16486
baseline,1.32,16155
baseline,1.33,17183
baseline,1.34,15474
baseline,1.35,16651
baseline,1.36,19740
baseline,1.37,15864
baseline,1.38,15493
baseline,1.39,14900
baseline,1.4,15129
baseline,1.41,15734
baseline,1.42,13931
baseline,1.43,14161
baseline,1.44,13044
baseline,1.45,13014
baseline,1.46,14113
baseline,1.47,16400
baseline,1.48,14905
baseline,1.49,16008
baseline,1.5,18363
baseline,1.51,21507
baseline,1.52,17990
baseline,1.53,16368
baseline,1.54,15166
baseline,1.55,20870
baseline,1.56,19702
baseline,1.57,13643
baseline,1.58,15484
baseline,1.59,15526
baseline,1.6,16833
baseline,1.61,23634
baseline,1.62,25555
baseline,1.63,27038
baseline,1.64,42675
baseline,1.65,28372
baseline,1.66,36737
baseline,1.67,8403
baseline,1.68,7668
baseline,1.69,7940
baseline,1.7,7819
baseline,1.71,11899
baseline,1.72,7233
baseline,1.73,7551
baseline,1.74,8217
baseline,1.75,9459
baseline,1.76,7262
baseline,1.77,7492
baseline,1.78,5850
baseline,1.79,6807
baseline,1.8,6223
baseline,1.81,7445
baseline,1.82,5971
baseline,1.83,5749
baseline,1.84,5993
baseline,1.85,5510
baseline,1.86,6054
baseline,1.87,6987
baseline,1.88,6543
baseline,1.89,5487
baseline,1.9,7002
baseline,1.91,5058
baseline,1.92,6876
baseline,1.93,6010
baseline,1.94,9112
baseline,1.95,5368
baseline,1.96,5930
baseline,1.97,5094
baseline,1.98,5445
baseline,1.99,5920
better_return,-2.0,85
better_return,-1.99,73
better_return,-1.98,83
better_return,-1.97,86
better_return,-1.96,52
better_return,-1.95,93
better_return,-1.94,114
better_return,-1.93,104
better_return,-1.92,119
better_return,-1.91,143
better_return,-1.9,191
better_return,-1.89,231
better_return,-1.88,178
better_return,-1.87,144
better_return,-1.86,172
better_return,-1.85,180
better_return,-1.84,195
better_return,-1.83,164
better_return,-1.82,340
better_return,-1.81,257
better_return,-1.8,132
better_return,-1.79,143
better_return,-1.78,143
better_return,-1.77,103
better_return,-1.76,174
better_return,-1.75,343
better_return,-1.74,270
better_return,-1.73,388
better_return,-1.72,403
better_return,-1.71,416
better_return,-1.7,359
better_return,-1.69,527
better_return,-1.68,188
better_return,-1.67,141
better_return,-1.66,126
better_return,-1.65,141
better_return,-1.64,140
better_return,-1.63,174
better_return,-1.62,145
better_return,-1.61,202
better_return,-1.6,210
better_return,-1.59,206
better_return,-1.58,191
better_return,-1.57,373
better_return,-1.56,187
better_return,-1.55,132
better_return,-1.54,147
better_return,-1.53,185
better_return,-1.52,161
better_return,-1.51,256
better_return,-1.5,224
better_return,-1.49,236
better_return,-1.48,289
better_return,-1.47,255
better_return,-1.46,280
better_return,-1.45,363
better_return,-1.44,392
better_return,-1.43,470
better_return,-1.42,379
better_return,-1.41,587
better_return,-1.4,487
better_return,-1.39,539
better_return,-1.38,2044
better_return,-1.37,2312
better_return,-1.36,480
better_return,-1.35,1629
better_return,-1.34,597
better_return,-1.33,1650
better_return,-1.32,2217
better_return,-1.31,1470
better_return,-1.3,808
better_return,-1.29,847
better_return,-1.28,911
better_return,-1.27,799
better_return,-1.26,1089
better_return,-1.25,913
better_return,-1.24,763
better_return,-1.23,1035
better_return,-1.22,1284
better_return,-1.21,1454
better_return,-1.2,1514
better_return,-1.19,3003
better_return,-1.18,1762
better_return,-1.17,1064
better_return,-1.16,1384
better_return,-1.15,2127
better_return,-1.14,1366
better_return,-1.13,1293
better_return,-1.12,1162
better_return,-1.11,1305
better_return,-1.1,1749
better_return,-1.09,2832
better_return,-1.08,2495
better_return,-1.07,2620
better_return,-1.06,3007
better_return,-1.05,5107
better_return,-1.04,3333
better_return,-1.03,2942
better_return,-1.02,4079
better_return,-1.01,6966
better_return,-1.0,4756
better_return,-0.99,3029
better_return,-0.98,3437
better_return,-0.97,4182
better_return,-0.96,6095
better_return,-0.95,5513
better_return,-0.94,5106
better_return,-0.93,5103
better_return,-0.92,5729
better_return,-0.91,6139
better_return,-0.9,5551
better_return,-0.89,7670
better_return,-0.88,6028
better_return,-0.87,7083
better_return,-0.86,8043
better_return,-0.85,9012
better_return,-0.84,8128
better_return,-0.83,10858
better_return,-0.82,10078
better_return,-0.81,13692
better_return,-0.8,16251
better_return,-0.79,16230
better_return,-0.78,14605
better_return,-0.77,24078
better_return,-0.76,23768
better_return,-0.75,43786
better_return,-0.74,21594
better_return,-0.73,23006
better_return,-0.72,32442
better_return,-0.71,24385
better_return,-0.7,29416
better_return,-0.69,50189
better_return,-0.68,31373
better_return,-0.67,39961
better_return,-0.66,41924
better_return,-0.65,46529
better_return,-0.64,37627
better_return,-0.63,44358
better_return,-0.62,49188
better_return,-0.61,82852
better_return,-0.6,64383
better_return,-0.59,69861
better_return,-0.58,72680
better_return,-0.57,102231
better_return,-0.56,94903
better_return,-0.55,144982
better_return,-0.54,107453
better_return,-0.53,120639
better_return,-0.52,120342
better_return,-0.51,173381
better_return,-0.5,133088
better_return,-0.49,143601
better_return,-0.48,164543
better_return,-0.47,179425
better_return,-0.46,210184
better_return,-0.45,226828
better_return,-0.44,289108
better_return,-0.43,354108
better_return,-0.42,290994
better_return,-0.41,495154
better_return,-0.4,346321
better_return,-0.39,389119
better_return,-0.38,449733
better_return,-0.37,455668
better_return,-0.36,534601
better_return,-0.35,621225
better_return,-0.34,992507
better_return,-0.33,745656
better_return,-0.32,830649
better_return,-0.31,869311
better_return,-0.3,1070861
better_return,-0.29,1217267
better_return,-0.28,1193080
better_return,-0.27,1380670
better_return,-0.26,1553397
better_return,-0.25,1850068
better_return,-0.24,2183581
better_return,-0.23,2061243
better_return,-0.22,2626864
better_return,-0.21,3361548
better_return,-0.2,2973387
better_return,-0.19,3147583
better_return,-0.18,3287188
better_return,-0.17,3543619
better_return,-0.16,3416884
better_return,-0.15,3678440
better_return,-0.14,3872432
better_return,-0.13,4704966
better_return,-0.12,5064139
better_return,-0.11,4936603
better_return,-0.1,5339271
better_return,-0.09,5781481
better_return,-0.08,5838318
better_return,-0.07,6480658
better_return,-0.06,6370903
better_return,-0.05,7473327
better_return,-0.04,7525632
better_return,-0.03,7827403
better_return,-0.02,9490492
better_return,-0.01,16783747
better_return,0.0,13309657
better_return,0.01,7360752
better_return,0.02,5470493
better_return,0.03,4415772
better_return,0.04,3807476
better_return,0.05,3672957
better_return,0.06,3125827
better_return,0.07,2837496
better_return,0.08,2522990
better_return,0.09,2170362
better_return,0.1,2036413
better_return,0.11,1980603
better_return,0.12,1872250
better_return,0.13,1714687
better_return,0.14,1437339
better_return,0.15,1341606
better_return,0.16,1483460
better_return,0.17,1231031
better_return,0.18,1061482
better_return,0.19,1001054
better_return,0.2,949144
better_return,0.21,934050
better_return,0.22,880680
better_return,0.23,1307237
better_return,0.24,1005737
better_return,0.25,960154
better_return,0.26,668872
better_return,0.27,895227
better_return,0.28,627645
better_return,0.29,536940
better_return,0.3,737769
better_return,0.31,477040
